,post_id,comments_text
243,2192188.0,"Нас просто унижают этими переговорами и прекращениями огня. Это свинство, что мы ведемся и реагируем на это...
Зачем мы вообще общаемся с этими подлецами...
Операцию военную нужно заканчивать!🇷🇺😡"
244,2192188.0,"ТВАРИ ФАШИСТСКИЕ СОБРАЛИСЬ ЧТО БЫ ОПЯТЬ ЗАМУТИТЬ ЧТОТО ПРОТИВ НАС...
НЕУЖЕЛИ БУДЕМ РАЗГОВАРИВАТЬ С ТВАРЯМИ. 😡"
245,2192188.0,"11.05.25 вообще-то воскресенье, а не понедельник."
246,2192188.0,Сходка воров вне закона 😃.
247,2192176.0,"Почему нельзя всем взять и просто уничтожить Америку, как бы глупо это не звучало, просто изолировать её саму"
248,2192176.0,Тот кто это писал забыл про Турцию Эрдогана которая хочет ослабления Ирана и России
249,2192176.0,"Трампу дай волю, он бы все страны захватил, и не боится подавиться."
250,2192176.0,В Иране много людей кто бы хотел избавиться от исламизма и стать хоть не много светской страной .
251,2192176.0,
252,2192163.0,Их ни кто не звал к нам..
253,2192163.0,"Если послушать или почитать свинячьи паблики с комментами фашистских пропагандонов, то они уже Москву раза три захватывали🤣"
254,2192163.0,
255,2192163.0,
256,2192163.0,
257,2192163.0,"Мир на Украине не нужен западным странам, поэтому они вкладывают миллиарды долларов в так называемую ""помощь"". Уверен, что хохлы окажутся в долговом рабстве перед Европой!"
258,2192163.0,Их там около 30000 голов исчезло
259,2192148.0,"Когда Боги смеются , демоны грустят."
260,2192148.0,
261,2192118.0,Снова пакет в пакет с пакетами
262,2192118.0,Да заепали уже со своими страшилками!
263,2192118.0,"Запустили твари 600 беспилотников за сутки,хотели сорвать празднование дня победы. И когда пришло время для ответа России,тут же завыли о перемирии. Конч.нные!!!"
264,2192118.0,"Ага ..тоесть хохлы перемирие могут не соблюдать а Россия обязана сидеть в уголочке и смотреть как хохлам подвозят технику , людей , боеприпасы . смотреть как они набираются сил все 30 дней .. для чего ?? Что бы потом опять 25 ?? Не пойти бы Европе , на хутор бабочек ловить  ?? Пусть там сами соблюдают свое перемирие как хотят .."
265,2192118.0,"Вонючка с островка в Атлантике, вы надоели своими ""страшилками и угрожалками"".Не знаете вы, вонючки, выражение про ""гнев терпеливых""..."
266,2192118.0,"Ой,ну забадали же своими санкциями! 😱. Может хватит уже Россию стращать! Даже уже не интересно!😂"
267,2192118.0,"Ага, парад то был в честь дня Победы 🤣
Вон как жонглируют фразами, типа парад это воинственность.

Медведь тоже при опасности скалится, показывает силу, чтобы не лезли, так же и тут. Парад в честь Победы, но так же это мощный оскал, чтобы враг видел"
268,2192118.0,"В глаза ибутся там все ?

Бойцы ВДВ разгромили колонны техники врага, отражая наступление на курское Тёткино 
 
▪Ивановские десантники 217 полка группировки войск ""Север"" 5 дней ведут тяжёлые бои, массово уничтожая танки, БМП, машины разграждения, квадроциклы и другую технику, участвующую в очередном кровавом наступлении киевского режима."
269,2192118.0,А без Трампа вы кто вообще?
270,2192118.0,"Они вообще слушали, что он на интервью их же каналам сказал?"
271,2192118.0,Отсосать вы можете хором прям с этим трампом вместе
272,2192118.0,"Принудить вы можете только друг дружку, когда играете в свои лгбтэшные игры:""маню, ты сегодня пассив, ну пожалуйста 🙏""
""Ну, нет, КИРюшка, я в прошлый раз был, теперь твоя очередь""
🤣"
273,2192118.0,Ну тады продолжается принуждение к миру!🤗
274,2192118.0,
275,2192118.0,
276,2192118.0,"Господи, он себя слышит?:))). Кто он такой, чтобы что то говорить в сторону России??? Эх как их рвёт из нутри 😂😂😂😂😂ничего не могут сделать!"
277,2192118.0,Это уже насмешка над нами. Неужели поведёмся?
278,2192118.0,Клоуны 🤡
279,2192118.0,"Жалкие, ничтожные неличности."
280,2192118.0,
281,2192118.0,Ой ляяяяя какие же обмылки а
282,2192118.0,"Кому какое дело, что эти мерзости там брешут???
Собака лает - ветер уносит!!!"
283,2192118.0,"То есть, они другими словами, требуют Россию капитулировать, а то они санкции введут. Наглость зашкаливает. Они всё ещё считают себя гегемонами и вершителями судеб мира. Шайка лузеров решила нахрапом напугать медведя.
Надеюсь,  они внимательно смотрели парад и внимательно слушали Путина."
284,2192118.0,"Главное имя Трампа упомянуть не забыть😂.... блин, вот же Табаки!((("
285,2192118.0,"Как говорилось в одной Конторе, ещё при императоре""британка начала""."
286,2192118.0,Игил стёрли угил ваш тоже сотрем
287,2192118.0,"Уже запад раскусили НАТО это просто бумажный тигр,для россиян."
288,2192118.0,"Стармер,это однодневка из ряда таких же никудышных премьеров."
289,2192118.0,Пошли вы на🖕
290,2192118.0,"Как будто Россия не каждый год устраивает парад, а только назло Англии."
291,2192108.0,"Не думаю что если они начнут кидать ядрëн батонами друг в друга это втянет остальной мир. Индия не нанесёт ударов заодно, например, по Китаю. Китай не ввяжется на стороне Пакистана. Пакистан не пульнет одновременно по северной Корее. Там ситуация не НАТО, США и Россия. Там два дурака морды друг другу бьют из за расположения общего забора, припоминая как кто сколько раз другого в прошлом назвал придурком. Остальная деревня смотрит на это, обсуждает и готовит йод с бинтами."
292,2192108.0,"Как по мне Индия прореагировала черезмерно. В ответ на атаку террористов, которая могла быть спровоцирована кем угодно начиная Израилeм или Tурцией заканчивая Англиeи или США, они отрубили воду и теперь целые районы могут остаться без урожая"
293,2192099.0,"Хреново Россия воюет, через три года войны не то что не смогли победить, не могут толком свою территорию отбить."
294,2192099.0,👍👍👍👍👍👍👍👍👍👍❤❤❤❤❤❤❤❤❤❤🌹🌹🌹🌹🌹🙏🙏🙏
295,2192099.0,"Наши бойцы всегда помогают и защищают мирное население, они самые лучшие! Мы их очень любим! Они настоящие герои"
296,2192099.0,Из-за Зеленского столько людей страдает. Превратил собственную страну в полигон - вот клоун
297,2192085.0,
298,2192085.0,Какой то притон для извращенцев громят.
299,2192085.0,
300,2192079.0,Орешником им по губам.
301,2192079.0,"А как вообще будет выглядеть контроль накачивают оружием всу или нет? На всех жд станциях будут наши представители находится как и в аэропортах и автострадах проверять все фуры? Единственное на мой взгляд это не влазить не в какие ловушки под названием перемирие. Пасхальное перемирие и на праздновании дня победы всу показали что ничего они не соблюдают и в будущем это делать не собираются. Согласиться на их условия это накачка западом оружием Украины далее провокация и опять возобновление бд. Запад истерит, значит идёт не по их планам и надо не садиться за их игровой стол."
302,2192079.0,"Автора то называть надо, с грамотностью у автора плоховато"
303,2192079.0,
304,2192076.0,Жги Вовчик тварей поганых...
305,2192076.0,"Все цели сво уже достигнуты ? 
Хохлы денацифицированы и демилитаризированы ? 
Опарыш капитулировал???"
306,2192076.0,"К сожалению опять мечем бисер перед свиньями.
Украина постоянно нарушала все договоренности, а мы в очередной раз пытаемся с ней договориться.
Очевидно и эта попытка обречена на провал."
307,2192076.0,Даже если согласятся- обманут... Ну было же и уже не рез...
308,2192076.0,"Снова с разбега на грабли, ничему опыт не учит."
309,2192076.0,"Зеленский наплевал на народ Украины и их страдания, его не заботят смерти людей. У него одно желание - денег побольше заработать"
310,2192072.0,"Фашистские твари, всех скотов уничтожим..."
311,2192072.0,"Новый презик - молодой и реактивный : как бы он не ввел войска в Молдавию, для захвата Приднестровья..."
312,2192072.0,Так и не понял... Кто там друг? Таких друзей- за х.. -в музей
313,2192072.0,
314,2192057.0,Ким Чен Ын серьезный мужик
315,2192057.0,"Напомнить про ""Посейдон ""Плавать умеешь? Хотя все кормить рыбу будете"
316,2192057.0,"ВЕЛИКОБРИТАНИЯ РАЗМЕРОМ С КУЧКУ ГОВНА, НАСРАНОЙ СЛОНОМ И ВСЁ ТУДА ЖЕ🤣🤣🤣"
317,2192057.0,
318,2192057.0,❤❤❤❤❤👏👏👏👏👏🌹🌹🌹🌹🌹🙏🙏🙏
319,2192038.0,
320,2192038.0,
321,2192038.0,
